,SampleA,SampleB
chr3.tRNA28-TyrGTA_70_91_89_R+,187.88,0.00
chr3.tRNA282-GlyCCC_0_27_71_+,432.41,0.00
chr3.tRNA282-GlyCCC_0_28_71_+,367.45,0.00
chr3.tRNA282-GlyCCC_0_29_71_+,16558.82,1624.75
chr3.tRNA282-GlyCCC_0_30_71_+,3771.18,598.43
chr3.tRNA282-GlyCCC_1_29_71_+,249.92,0.00
chr3.tRNA287-GlyCCC_52_73_71_R+,190.91,0.00
chr3.tRNA303-GluCTC_0_27_72_+,434.56,265.66
chr3.tRNA303-GluCTC_0_28_72_+,1129.12,610.57
chr3.tRNA303-GluCTC_0_29_72_+,445.47,252.45
chr3.tRNA745-GluCTC_1_28_72_-,434.56,265.66
chr3.tRNA745-GluCTC_1_29_72_-,1129.12,610.57
chr3.tRNA745-GluCTC_1_30_72_-,445.47,252.45
chr3.tRNA752-GlyCCC_52_73_71_R-,190.91,0.00
chr3.tRNA755-GlyCCC_52_73_71_R-,190.91,0.00
chr3.tRNA878-GlyGCC_0_27_71_-,432.41,0.00
chr3.tRNA878-GlyGCC_0_28_71_-,367.45,0.00
chr3.tRNA878-GlyGCC_0_29_71_-,16562.45,1624.75
chr3.tRNA878-GlyGCC_0_30_71_-,3771.18,598.43
chr3.tRNA878-GlyGCC_1_29_71_-,249.92,0.00
chr3.tRNA878-GlyGCC_52_73_71_R-,190.91,0.00
chr4.tRNA67-GlyCCC_52_73_71_R+,190.91,0.00
chr5.tRNA109-TyrGTA_70_91_89_R+,187.88,0.00
chr5.tRNA1317-AlaTGC_54_74_72_-,509.11,381.60
chr6.tRNA317-GlyCCC_52_73_71_R+,1427.31,1130.14
chr6.tRNA317-GlyCCC_56_69_71_+,0.00,205.48
chr6.tRNA317-GlyCCC_56_73_71_R+,345.46,410.96
chr7.tRNA967-GluCTC_0_28_72_R-,200.01,190.80
chr8.tRNA560-GlyGCC_0_26_71_+,403.32,0.00
chr8.tRNA560-GlyGCC_0_27_71_+,361.99,0.00
chr8.tRNA560-GlyGCC_0_28_71_+,15879.79,1551.77
chr8.tRNA560-GlyGCC_0_29_71_+,3608.37,559.06
chr8.tRNA560-GlyGCC_1_28_71_+,246.29,0.00
chr8.tRNA886-GlyGCC_0_27_71_-,432.41,0.00
chr8.tRNA886-GlyGCC_0_28_71_-,367.45,0.00
chr8.tRNA886-GlyGCC_0_29_71_-,16549.73,1624.75
chr8.tRNA886-GlyGCC_0_30_71_-,3769.36,598.43
chr8.tRNA886-GlyGCC_1_29_71_-,249.92,0.00
chr8.tRNA887-GlyGCC_0_27_71_-,432.41,0.00
chr8.tRNA887-GlyGCC_0_28_71_-,367.45,0.00
chr8.tRNA887-GlyGCC_0_29_71_-,16557.00,1624.75
chr8.tRNA887-GlyGCC_0_30_71_-,3771.18,598.43
chr8.tRNA887-GlyGCC_1_29_71_-,249.92,0.00
mmu-let-7a-1-5p,2235.52,562.62
mmu-let-7a-2-5p,2253.70,562.62
mmu-let-7b-5p,4500.13,1966.73
mmu-let-7c-1-5p,2721.90,675.15
mmu-let-7c-2-5p,2840.08,733.85
mmu-let-7d-3p,363.65,0.00
mmu-let-7d-5p,7316.12,2202.48
mmu-let-7f-1-5p,1509.13,441.86
mmu-let-7f-2-5p,1650.05,471.21
mmu-let-7g-5p,2045.51,521.04
mmu-let-7i-5p,11118.50,4381.11
mmu-mir-103-1-3p,3430.40,1920.25
mmu-mir-103-2-3p,3448.58,1920.25
mmu-mir-106b-3p,2445.52,369.37
mmu-mir-106b-3p_-_2,254.55,0.00
mmu-mir-107-3p,957.60,503.91
mmu-mir-10b-5p,618.20,0.00
mmu-mir-122-5p,345.46,0.00
mmu-mir-128-1-3p,4991.05,2333.66
mmu-mir-128-2-3p,3354.64,1585.13
mmu-mir-130b-3p,0.00,161.45
mmu-mir-130b-5p,254.55,0.00
mmu-mir-140-3p,6963.83,6061.64
mmu-mir-140-3p_+_1,18736.90,22610.07
mmu-mir-140-3p_+_2,600.02,645.79
mmu-mir-142-5p,0.00,176.13
mmu-mir-142-5p_-_1,509.11,322.90
mmu-mir-142-5p_-_2,5000.14,6135.03
mmu-mir-146a-5p,454.56,0.00
mmu-mir-146b-5p,484.86,0.00
mmu-mir-148a-3p,3436.46,4593.93
mmu-mir-148b-3p,1781.87,249.51
mmu-mir-150-5p,1709.14,425.64
mmu-mir-151-3p,1112.76,777.89
mmu-mir-151-5p,490.92,154.11
mmu-mir-15a-5p,236.37,0.00
mmu-mir-15b-3p,309.10,0.00
mmu-mir-15b-5p,366.68,0.00
mmu-mir-16-1-5p,8700.25,616.44
mmu-mir-16-2-5p,8718.43,601.76
mmu-mir-17-5p,345.46,0.00
mmu-mir-181a-1-3p,218.19,0.00
mmu-mir-181a-1-5p,954.57,1863.99
mmu-mir-181a-2-5p,954.57,1863.99
mmu-mir-181b-1-5p,472.74,247.06
mmu-mir-181b-2-5p,636.38,327.79
mmu-mir-181c-3p,218.19,234.83
mmu-mir-181c-5p,509.11,733.85
mmu-mir-181d-5p,1163.67,481.90
mmu-mir-1839-5p,200.01,0.00
mmu-mir-185-5p,809.11,1262.23
mmu-mir-186-5p,5909.26,3478.47
mmu-mir-186-5p_+_1,200.01,0.00
mmu-mir-18a-3p,272.74,161.45
mmu-mir-191-5p,47001.34,30704.49
mmu-mir-191-5p_+_1,3945.57,3126.22
mmu-mir-192-5p,1345.49,528.38
mmu-mir-193b-3p,254.55,308.22
mmu-mir-19b-1-3p,463.65,0.00
mmu-mir-19b-2-3p,463.65,0.00
mmu-mir-21-5p,1600.05,161.45
mmu-mir-210-3p,545.47,719.18
mmu-mir-22-3p,2290.97,1144.81
mmu-mir-221-3p,218.19,190.80
mmu-mir-222-3p,272.74,0.00
mmu-mir-223-3p,1490.95,535.71
mmu-mir-23a-3p,245.46,0.00
mmu-mir-23b-3p,336.37,232.39
mmu-mir-24-1-3p,554.56,205.48
mmu-mir-24-2-3p,554.56,205.48
mmu-mir-25-3p,52346.94,15675.14
mmu-mir-25-3p_+_1,981.85,0.00
mmu-mir-26a-1-5p,17691.41,628.67
mmu-mir-26a-2-5p,17691.41,628.67
mmu-mir-26b-5p,836.39,181.02
mmu-mir-27b-3p,1509.13,557.73
mmu-mir-29a-3p,472.74,0.00
mmu-mir-30a-3p,527.29,0.00
mmu-mir-30a-5p,4563.77,543.05
mmu-mir-30b-5p,490.92,161.45
mmu-mir-30c-1-5p,8254.78,2355.67
mmu-mir-30c-2-5p,8254.78,2355.67
mmu-mir-30d-5p,14836.79,3082.19
mmu-mir-30e-3p,2272.79,352.25
mmu-mir-30e-5p,1527.32,275.20
mmu-mir-3107-5p,215827.35,260736.23
mmu-mir-3107-5p_+_2,1936.42,2863.26
mmu-mir-3107-5p_-_1,0.00,176.13
mmu-mir-320-3p,1672.77,3214.28
mmu-mir-320-3p_+_1,0.00,249.51
mmu-mir-324-5p,472.74,0.00
mmu-mir-326-3p,218.19,192.90
mmu-mir-328-3p,1627.93,2067.51
mmu-mir-339-5p,1000.03,954.01
mmu-mir-361-3p_+_1,345.46,0.00
mmu-mir-361-5p,218.19,0.00
mmu-mir-374-5p,200.01,0.00
mmu-mir-378-3p,2075.82,4222.11
mmu-mir-378-3p_+_1,283.34,311.89
mmu-mir-378-5p,381.83,0.00
mmu-mir-421-3p,618.20,0.00
mmu-mir-423-3p,2900.08,3852.74
mmu-mir-423-3p_-_1,527.29,645.79
mmu-mir-423-5p,2581.89,2979.45
mmu-mir-425-5p,4436.49,2480.43
mmu-mir-451,23509.76,1952.05
mmu-mir-484,400.01,454.99
mmu-mir-486-5p,0.00,263069.89
mmu-mir-486-5p_+_2,2536.44,3244.86
mmu-mir-5109,209.10,1137.48
mmu-mir-5109_+_1,0.00,609.10
mmu-mir-5109_+_5,209.10,0.00
mmu-mir-5109_-_1,0.00,161.45
mmu-mir-652-3p,363.65,0.00
mmu-mir-744-5p,1409.13,1122.80
mmu-mir-92a-1-3p,81584.14,25802.34
mmu-mir-92a-1-3p_+_1,1209.13,1276.91
mmu-mir-92a-2-3p,2800.08,880.63
mmu-mir-93-5p,1890.96,880.63
mmu-mir-98-5p,240.01,0.00
